TreeNum,Response,Easting,Northing,TreeDiam,Infest_Serv1,Infest_Serv2,Ind_DeadDist,DeadDist,SDI_20th,Neigh_SDI_1/4th,BA_20th,Neigh_1/4th,Neigh_1/2th,Neigh_1,Neigh_1.5,BA_Inf_20th,BA_Infest_1/4th,BA_Infest_1/2th,BA_Infest_1,BA_Infest_1.5,IND_BA_Infest_20th,IND_BA_Infest_1/4th,IND_BA_Infest_1/2th,IND_BA_Infest_1,IND_BA_Infest_1.5
14,0,766298.8729,4333855.486,10,9,13.378662,0,78.49183249,13.68940189,28.67225515,8.693676,16.449264,31.52412,53.471016,113.017788,0,0,0,0,0,0,0,0,0,0
15,0,766299.8802,4333860.568,8,9,13.378662,0,76.7411703,13.14337116,35.79632402,8.26281,22.79772,34.000236,65.39346,107.656506,0,0,0,0,0,0,0,0,0,0
17,0,766302.5517,4333861.804,28,9,13.378662,0,78.50835201,11.89678286,31.6291588,7.575606,20.676114,32.58765,53.498286,100.806282,0,0,0,0,0,0,0,0,0,0
20,0,766303.0753,4333858.516,8,9,13.378662,0,80.53147435,13.36597744,23.25665479,8.382798,13.487742,27.853578,49.68594,102.218868,0,0,0,0,0,0,0,0,0,0
22,0,766307.6322,4333856.684,8,9,13.378662,0,85.40410747,11.21462287,20.76262577,7.28109,12.146058,24.532092,43.539282,80.970084,0,0,0,0,0,0,0,0,0,0
23,0,766310.7225,4333856.479,8,9,13.378662,0,88.21857331,4.994404864,18.77874628,2.459754,11.158884,22.366854,38.881566,56.470716,0,0,0,0,0,0,0,0,0,0
24,0,766311.0215,4333856.504,6,9,13.378662,0,88.47087485,4.295433426,18.77874628,2.110698,11.158884,22.366854,38.39616,54.889056,0,0,0,0,0,0,0,0,0,0
25,0,766300.9998,4333855.367,10,9,13.378662,0,80.35186746,14.68940189,25.94557659,9.239076,15.069402,31.038714,47.935206,103.233312,0,0,0,0,0,0,0,0,0,0
26,0,766308.8307,4333854.049,10,9,13.378662,0,87.74360142,7.005610864,19.47771772,3.65418,11.50794,22.099608,39.912372,57.087018,0,0,0,0,0,0,0,0,0,0
27,0,766304.8408,4333852.417,7,9,13.378662,0,85.17377148,7.441476762,25.6168409,3.932334,14.933052,26.293734,42.672096,80.441046,0,0,0,0,0,0,0,0,0,0
29,0,766300.2426,4333834.799,8,9,13.378662,0,92.34987278,0.698971437,8.436521088,0.349056,4.712256,13.793166,36.890856,67.853214,0,0,0,0,0,0,0,0,0,0
32,0,766291.7331,4333840.321,13,9,13.378662,0,82.38427996,4.698636523,22.67688925,2.683368,12.18969,25.55199,57.610602,88.349346,0,0,0,0,0,0,0,0,0,0
34,0,766289.0672,4333845.049,11,9,13.378662,0,77.18674906,5.553186567,27.27245334,3.13605,14.496732,34.82379,72.036432,95.979492,0,0,0,0,0,0,0,0,0,0
35,0,766289.4756,4333848.2,10,9,13.378662,0,75.36859454,4.029558092,34.91851738,2.214324,18.647226,32.625828,80.375598,101.520756,0,0,0,0,0,0,0,0,0,0
36,0,766289.9505,4333851.553,11,9,13.378662,0,73.56664343,6.754952798,40.34981549,3.594186,23.081328,33.989328,80.970084,108.687312,0,0,0,0,0,0,0,0,0,0
38,0,766293.8985,4333856.933,10,9,13.378662,0,73.54017427,8.316338035,37.92283143,4.314114,21.548754,35.440092,74.021688,124.400286,0,0,0,0,0,0,0,0,0,0
39,0,766290.9695,4333857.784,9,9,13.378662,0,70.64050311,6.316338035,35.65972589,3.223314,20.387052,43.430202,79.497504,124.59663,0,0,0,0,0,0,0,0,0,0
40,0,766289.9114,4333859.33,6,9,13.378662,0,68.89431274,7.672780853,35.15818298,3.84507,19.9071,42.906618,83.658906,131.146884,0,0,0,0,0,0,0,0,0,0
42,0,766294.2081,4333859.869,8,9,13.378662,0,72.20680723,6.380821566,37.40382371,3.196044,21.090618,39.366972,73.285398,124.067592,0,0,0,0,0,0,0,0,0,0
45,0,766274.674,4333847.069,11,9,13.378662,0,65.85806975,8.204566141,46.27784827,4.521366,27.24273,57.583332,80.081082,107.492886,0,0,0,0,0,0,0,0,0,0
47,0,766277.9472,4333861.011,9,9,13.378662,0,58.28704538,9.9187814,44.42873309,5.197662,26.566434,49.205988,109.199988,163.445472,0,0,0,0,0,0,0,0,0,0
48,0,766278.1164,4333860.661,13,9,13.378662,0,58.63996335,9.9187814,43.98824643,5.197662,26.37009,49.205988,109.199988,163.445472,0,0,0,0,0,0,0,0,0,0
50,0,766283.4498,4333862.764,8,9,13.378662,0,61.6233195,10.01242899,28.92417637,5.421276,15.21666,54.010962,102.818808,148.616046,0,0,0,0,0,0,0,0,0,0
51,0,766280.0671,4333853.679,7,9,13.378662,0,64.71828558,8.212947003,44.29295103,4.510458,23.555826,53.209224,95.783148,124.427556,0,0,0,0,0,0,0,0,0,0
52,0,766280.0206,4333850.007,11,9,13.378662,0,67.25080478,4.45885486,43.07085506,2.39976,23.048604,47.466162,84.01887,112.259682,0,0,0,0,0,0,0,0,0,0
55,0,766279.6241,4333839.384,8,9,13.378662,0,74.94566371,6.496605256,37.43262905,3.348756,23.610366,48.616956,70.089354,85.540536,0,0,0,0,0,0,0,0,0,0
56,0,766277.2317,4333841.53,11,9,13.378662,0,71.77783652,8.827191911,50.299167,4.668624,31.682286,52.456572,78.303078,93.192498,0,0,0,0,0,0,0,0,0,0
58,0,766278.3881,4333836.745,4,9,13.378662,0,76.28136584,6.496605256,38.08027587,3.348756,24.930234,46.037214,68.660406,85.006044,0,0,0,0,0,0,0,0,0,0
59,0,766277.036,4333836.662,8,9,13.378662,0,75.54946306,5.496605256,44.22688389,2.803356,30.171528,45.84087,68.115006,86.075028,0,0,0,0,0,0,0,0,0,0
61,0,766274.9402,4333838.542,7,9,13.378662,0,72.80134528,7.661898584,48.75128352,4.00869,32.544018,51.802092,64.98441,93.574278,0,0,0,0,0,0,0,0,0,0
65,0,766270.4316,4333841.869,11,9,13.378662,0,67.5031977,13.22150174,52.14891513,8.437338,34.218396,53.972784,78.875748,104.340474,0,0,0,0,0,0,0,0,0,0
71,0,766265.2302,4333847.434,8,9,13.378662,0,59.99727296,10.6311906,64.48142771,5.67216,41.799456,56.252556,81.466398,118.673586,0,0,0,0,0,0,0,0,0,0
72,0,766265.2487,4333847.763,5,9,13.378662,0,59.73056352,10.6311906,58.33481969,5.67216,36.558162,56.4489,81.799092,119.33352,0,0,0,0,0,0,0,0,0,0
73,0,766269.1546,4333849.668,9,9,13.378662,0,60.40231832,12.70497738,57.45372736,6.932034,35.107398,59.09409,88.114824,126.31464,0,0,0,0,0,0,0,0,0,0
74,0,766262.2599,4333852.914,7,9,13.378662,0,53.78267292,15.91253754,51.61634427,8.437338,30.875094,63.62091,91.70901,164.65626,0,0,0,0,0,0,0,0,0,0
75,0,766266.1633,4333851.828,9,9,13.378662,0,56.88880699,14.15943983,50.20883392,7.602876,29.189808,64.951686,87.86394,158.062374,0,0,0,0,0,0,0,0,0,0
76,0,766264.4744,4333853.747,11,9,13.378662,0,54.34485226,16.5759381,48.67330484,8.928198,28.317168,59.334066,88.49115,167.90139,0,0,0,0,0,0,0,0,0,0
77,0,766267.0001,4333854.03,11,9,13.378662,0,55.6282925,14.04768887,49.55270908,7.542882,28.791666,62.110152,87.72759,159.458598,0,0,0,0,0,0,0,0,0,0
78,0,766264.0668,4333856.691,7,9,13.378662,0,51.73163276,13.59205861,37.08498612,7.395624,19.618038,53.901882,91.46358,172.968156,0,0,0,0,0,0,0,0,0,0
79,0,766267.0644,4333856.206,13,9,13.378662,0,53.96759324,13.01998174,40.53647136,7.057476,21.46149,56.334366,92.270772,171.359226,0,0,0,0,0,0,0,0,0,0
80,0,766269.3907,4333856.684,11,9,13.378662,0,55.11243002,11.56828908,40.64360157,6.212106,21.603294,56.356182,96.066756,158.57505,0,0,0,0,0,0,0,0,0,0
81,0,766272.3863,4333854.652,10,9,13.378662,0,58.62638881,13.02743403,41.35130771,7.161102,21.892356,54.616356,91.294506,145.692702,0,0,0,0,0,0,0,0,0,0
82,0,766272.2457,4333857.768,5,9,13.378662,0,56.26580358,10.96749896,47.26406133,6.157566,28.03356,47.651598,103.396932,163.516374,0,0,0,0,0,0,0,0,0,0
83,0,766236.9711,4333839.762,27,15,24.128496,1,44.42087224,5.252971493,37.84824884,4.112316,26.550072,53.536464,110.519856,171.790092,0,0,0,0,0,0,0,0,0,0
84,0,766236.4374,4333850.72,14,15,24.128496,1,38.66639457,7.60184137,30.53716906,4.259574,17.900028,72.849078,134.60472,200.27088,0,0,0,0,2.296134,0,0,0,0,1
86,0,766246.436,4333847.929,5,15,24.128496,1,48.99368365,3.86295635,40.4565916,1.79982,24.990228,55.418094,131.506848,173.524464,0,0,0,0,0,0,0,0,0,0
87,0,766246.4548,4333845.871,7,15,24.128496,1,49.77788944,7.482334296,41.16728628,4.82679,27.002754,61.962894,118.16091,161.072982,0,0,0,0,0,0,0,0,0,0
88,0,766247.3773,4333842.124,5,15,24.128496,0,52.18127854,6.454627169,49.87338905,4.341384,34.921962,65.09349,105.45309,151.746642,0,0,0,0,0,0,0,0,0,0
90,0,766245.8989,4333833.917,5,15,24.128496,0,55.08720905,5.525205457,35.45938781,3.986874,26.440992,55.84896,81.613656,124.945686,0,0,0,0,0,0,0,0,0,0
93,0,766231.7574,4333830.809,10,15,24.128496,1,46.46335069,14.06682948,25.59671087,11.7261,20.04345,35.849142,99.328248,145.899954,0,0,0,0,0,0,0,0,0,0
94,0,766229.6156,4333830.419,5,15,24.128496,1,45.35556695,14.06682948,30.52094667,11.7261,24.019416,35.652798,90.083718,147.677958,0,0,0,0,0,0,0,0,0,0
95,0,766228.3328,4333829.899,36,15,24.128496,1,44.95488737,14.06682948,30.19221098,11.7261,23.883066,42.852078,87.242184,148.283352,0,0,0,0,0,0,0,0,0,0
98,0,766232.5824,4333841.038,5,15,24.128496,1,40.12364983,5.252971493,44.33303959,4.112316,31.327776,42.115788,128.256264,183.668904,0,0,0,0,1.22715,0,0,0,0,1
100,0,766228.3947,4333851.232,9,15,24.128496,1,31.12962824,7.920830041,49.73053087,4.139586,33.73299,72.107334,139.769658,212.067882,0,0,0,1.22715,13.85316,0,0,0,1,1
101,0,766228.6209,4333853.236,5,15,24.128496,1,30.48441101,7.920830041,59.18834511,4.139586,40.272336,85.9005,138.515238,213.834978,0,0,0,1.22715,14.39856,0,0,0,1,1
102,0,766228.1415,4333854.01,5,15,24.128496,1,29.74240854,7.920830041,59.18834511,4.139586,40.272336,87.383988,129.117996,213.74226,0,0,0,1.22715,18.37998,0,0,0,1,1
103,0,766234.0677,4333850.031,7,15,24.128496,1,36.76333999,7.763792453,41.27509824,4.188672,26.293734,73.525374,133.830252,198.351072,0,0,0,0,2.296134,0,0,0,0,1
104,0,766234.4279,4333850.126,9,15,24.128496,1,37.05229822,9.103734143,40.43067685,4.974048,25.85196,73.661724,134.490186,199.932732,0,0,0,0,2.296134,0,0,0,0,1
105,0,766206.9777,4333831.061,21,1,2.639736,1,27.1696792,8.213978777,55.02539733,6.38118,43.16841,63.795438,90.732744,137.828034,0,0,0,5.230386,17.005572,0,0,0,1,1
107,0,766209.9836,4333813.637,25,1,2.639736,1,39.20076582,14.20707945,23.56051632,11.37159,18.29817,32.462208,66.271554,80.108352,0,0,0,0,2.639736,0,0,0,0,1
108,0,766208.8867,4333815.023,28,1,2.639736,1,37.45192607,14.20707945,28.1953294,11.37159,21.985074,32.947614,66.271554,80.244702,0,0,0,0,2.639736,0,0,0,0,1
109,0,766204.845,4333816.283,26,1,2.639736,1,33.69050506,14.20707945,28.06049207,11.37159,21.903264,33.662088,70.6293,79.262982,0,0,0,2.639736,2.639736,0,0,0,1,1
110,0,766192.3119,4333815.987,6,1,2.639736,1,26.88017719,6.338405272,26.96374955,4.49955,20.64339,41.984892,55.390824,82.289952,0,0,0,2.639736,3.561462,0,0,0,1,1
111,0,766200.6344,4333826.318,27,1,2.639736,1,23.85144542,8.213978777,56.49883982,6.38118,42.601194,54.927234,75.18339,120.609756,0,0,2.639736,2.639736,17.005572,0,0,1,1,1
112,0,766193.1389,4333822.147,26,1,2.639736,1,21.80722227,5.404035422,39.71495369,4.019598,28.74258,51.300324,65.224386,105.164028,0,0,2.639736,2.639736,13.029606,0,0,1,1,1
113,0,766187.4511,4333816.46,7,1,2.639736,1,24.86786867,2.868885524,17.39148317,1.47258,12.958704,37.943478,52.865622,83.331666,0,0,2.639736,2.639736,4.66317,0,0,1,1,1
114,0,766180.791,4333815.459,11,1,2.639736,1,25.16825492,2.428398867,7.832434289,1.276236,5.295834,25.104762,53.247402,77.234094,0,0,2.639736,2.639736,3.29967,0,0,1,1,1
115,0,766185.0744,4333819.026,8,1,2.639736,1,21.87680618,2.868885524,19.60148817,1.47258,13.864068,44.182854,56.470716,93.307032,0,0,2.639736,2.639736,11.802456,0,0,1,1,1
117,0,766192.1076,4333841.172,17,1,2.639736,1,10.57862146,32.81018429,46.97818,23.64309,34.131132,57.316086,120.495222,166.925124,0,2.639736,11.802456,26.768232,26.768232,0,1,1,1,1
118,0,766198.1709,4333839.934,35,1,2.639736,1,16.64128088,20.28506742,47.69922898,15.702066,34.76925,61.395678,133.246674,179.103906,0,2.639736,10.220796,24.586632,26.768232,0,1,1,1,1
119,0,766198.0125,4333842.625,22,1,2.639736,1,16.59098394,16.39868852,49.4967347,13.078692,36.029124,67.825944,139.70421,191.81718,0,2.639736,11.447946,24.586632,26.768232,0,1,1,1,1
120,0,766148.0607,4333839.891,23,15,24.128496,1,31.89560826,5.723934207,17.5011436,4.112316,11.169792,35.265564,67.476888,119.000826,0,0,0,8.64459,17.987292,0,0,0,1,1
121,0,766162.0842,4333830.709,5,1,2.639736,1,21.83613742,1.468193784,7.972131822,0.68175,4.832244,22.683186,72.64728,122.758632,0,0,2.639736,7.384716,21.565116,0,0,1,1,1
122,0,766159.7926,4333830.654,6,1,2.639736,1,23.92378409,1.468193784,7.972131822,0.68175,4.832244,21.417858,75.134304,123.025878,0,0,2.639736,7.384716,21.565116,0,0,1,1,1
123,0,766157.5557,4333829.985,8,1,2.639736,1,26.23809268,1.468193784,7.972131822,0.68175,4.832244,7.77195,66.031578,115.81569,0,0,0,6.46299,17.987292,0,0,0,1,1
124,0,766158.1502,4333820.744,7,1,2.639736,1,30.69442209,1.128268205,4.165216851,0.534492,1.947078,7.204734,39.8142,79.672032,0,0,0,2.639736,7.384716,0,0,0,1,1
125,0,766151.9221,4333821.387,7,1,2.639736,1,35.31554478,2.697023067,7.232238156,1.265328,3.659634,7.6356,25.350192,69.314886,0,0,0,2.639736,2.639736,0,0,0,1,1
126,0,766149.3517,4333827.155,7,1,2.639736,1,34.89293548,1.692402308,11.03915313,0.801738,6.5448,14.327658,44.182854,83.189862,0,0,0,2.639736,7.384716,0,0,0,1,1
127,0,766149.0837,4333818.883,6,1,2.639736,1,39.06364546,1.568754862,7.232238156,0.730836,3.659634,7.6356,19.078092,51.982074,0,0,0,0,2.639736,0,0,0,0,1
128,0,766146.247,4333823.227,7,1,2.639736,1,39.34751952,2.132888964,11.03915313,0.998082,6.5448,11.115252,24.030324,58.38507,0,0,0,0,2.639736,0,0,0,0,1
129,0,766132.98,4333809.259,6,1,2.639736,0,57.80730658,2.139458094,6.211100158,1.0908,3.266946,6.828408,14.382198,27.040932,0,0,0,0,0,0,0,0,0,0
130,0,766137.2644,4333824.012,8,1,2.639736,1,47.28996055,3.067021305,11.07138976,1.712556,6.05394,18.281808,23.119506,45.355464,0,0,0,0,0,0,0,0,0,0
131,0,766136.8941,4333824.64,9,1,2.639736,1,47.42162404,3.067021305,11.07138976,1.712556,6.05394,18.549054,24.973866,46.882584,0,0,0,0,0,0,0,0,0,0
132,0,766136.6296,4333824.837,13,1,2.639736,1,47.60508625,3.067021305,11.07138976,1.712556,6.05394,18.549054,24.973866,46.882584,0,0,0,0,0,0,0,0,0,0
133,0,766132.2647,4333838.568,11,15,24.128496,1,45.53102436,3.990506175,23.9858996,2.405214,15.102126,18.936288,43.866522,102.976974,0,0,0,0,0,0,0,0,0,0
134,0,766130.0793,4333839.958,16,15,24.128496,1,46.78891165,5.330447866,20.17898463,3.19059,12.21696,18.65268,49.702302,104.476824,0,0,0,0,0,0,0,0,0,0
135,0,766127.6726,4333845.055,8,15,24.128496,1,46.9497265,7.179490018,15.42472095,4.095954,9.364518,24.755706,70.171164,111.12525,0,0,0,0,0,0,0,0,0,0
136,0,766127.503,4333846.655,12,15,24.128496,1,46.58261067,6.014196691,16.76466264,3.43602,10.149894,24.755706,76.563252,112.521474,0,0,0,0,0,0,0,0,0,0
137,0,766127.61,4333848.661,9,15,24.128496,1,45.89002169,3.887955281,18.46825484,2.039796,10.96254,30.613302,79.481142,116.79741,0,0,0,0,0,0,0,0,0,0
138,0,766133.431,4333848.071,6,15,24.128496,1,40.51287911,8.723284577,25.67848415,5.377644,16.056576,30.062448,81.777276,131.872266,0,0,0,0,5.34492,0,0,0,0,1
139,0,766112.6277,4333821.007,15,15,24.128496,0,71.5150552,3.633091204,6.905438262,2.296134,3.839616,10.406232,24.886602,45.56817,0,0,0,0,0,0,0,0,0,0
140,0,766130.003,4333815.29,10,1,2.639736,0,57.4268206,2.57994475,7.927172126,1.287144,4.33593,8.884566,21.477852,31.327776,0,0,0,0,0,0,0,0,0,0
141,0,766129.6579,4333811.484,8,1,2.639736,0,59.50461569,2.57994475,7.927172126,1.287144,4.33593,6.828408,15.98022,28.813482,0,0,0,0,0,0,0,0,0,0
142,0,766123.6984,4333812.901,6,1,2.639736,0,64.14193939,2.703592196,10.40832547,1.358046,5.830326,6.642972,18.199998,29.947914,0,0,0,0,0,0,0,0,0,0
143,0,766120.5516,4333812.141,7,1,2.639736,0,67.31158659,2.720692727,7.34130416,1.532574,4.11777,7.630146,17.932752,30.362418,0,0,0,0,0,0,0,0,0,0
144,0,766113.95,4333815.998,14,1,2.639736,0,71.93706058,4.76135941,9.044896356,2.830626,4.930416,11.94426,20.550672,39.339702,0,0,0,0,0,0,0,0,0,0
145,0,766110.2337,4333811.555,7,1,2.639736,0,77.00417884,2.280206071,9.352890774,1.33623,5.04495,10.624392,19.078092,31.753188,0,0,0,0,0,0,0,0,0,0
146,0,766101.4519,4333798.307,8,1,2.639736,0,90.5799751,4.785436916,8.682029568,2.956068,4.914054,8.873658,13.029606,22.241412,0,0,0,0,0,0,0,0,0,0
147,0,766099.835,4333798.129,9,1,2.639736,0,92.09473646,4.785436916,8.682029568,2.956068,4.914054,7.646508,14.605812,22.241412,0,0,0,0,0,0,0,0,0,0
150,0,766095.5814,4333805.773,6,1,2.639736,0,92.75523962,6.574502634,10.80827098,3.855978,6.310278,9.833562,20.076174,28.502604,0,0,0,0,0,0,0,0,0,0
151,0,766090.3801,4333802.479,11,1,2.639736,0,98.81909988,5.43504454,10.24413688,3.310578,6.043032,8.715492,19.181718,28.409886,0,0,0,0,0,0,0,0,0,0
152,0,766099.2744,4333811.381,8,1,2.639736,0,87.30925778,2.167165221,14.44136218,1.030806,8.606412,11.377044,22.841352,36.220014,0,0,0,0,0,0,0,0,0,0
153,0,766093.3508,4333807.616,5,1,2.639736,0,94.1645898,6.134015978,10.80827098,3.659634,6.310278,11.606112,22.546836,34.556544,0,0,0,0,0,0,0,0,0,0
154,0,766093.4585,4333809.128,8,1,2.639736,0,93.54399492,3.332458548,10.80827098,1.69074,6.310278,11.873358,23.637636,34.556544,0,0,0,0,0,0,0,0,0,0
155,0,766091.1854,4333818.075,16,15,24.128496,0,91.39828434,2.12624141,10.6037874,1.396224,6.632064,18.821754,31.802274,44.379198,0,0,0,0,0,0,0,0,0,0
156,0,766104.2973,4333830.329,6,15,24.128496,0,74.19505679,1.568754862,10.78383184,0.730836,6.522984,10.908,36.907218,75.952404,0,0,0,0,0,0,0,0,0,0
157,0,766104.6276,4333830.614,7,15,24.128496,0,73.77610574,1.568754862,11.0136087,0.730836,6.610248,11.038896,36.907218,75.75606,0,0,0,0,0,0,0,0,0,0
158,0,766099.8815,4333835.781,7,15,24.128496,0,76.2390219,4.370312291,8.545810823,2.69973,4.974048,17.310996,51.56757,90.460044,0,0,0,0,0,0,0,0,0,0
159,0,766097.6558,4333841.776,19,15,24.128496,0,76.60012158,5.971471516,16.08773767,3.637818,9.937188,21.02517,64.537182,115.946586,0,0,0,0,0,0,0,0,0,0
160,0,766097.5099,4333848.521,11,15,24.128496,0,74.82073232,10.21425238,21.6135794,6.801138,14.731254,28.0881,76.186926,128.82348,0,0,0,0,0,0,0,0,0,0
161,0,766107.6467,4333844.876,12,15,24.128496,0,66.15085149,1.569718549,15.48657845,0.87264,9.5445,28.349892,61.390224,119.677122,0,0,0,0,0,0,0,0,0,0
162,0,766065.5594,4333831.022,10,15,24.128496,0,110.3990016,12.83818553,35.60213083,7.668324,20.905182,26.326458,49.560498,90.869094,0,0,0,0,0,0,0,0,0,0
163,0,766065.4588,4333838.332,15,11,9.440874,0,108.2724535,14.1350315,25.71106884,8.31735,14.856696,30.989628,82.202688,125.25111,0,0,0,0,0,0,0,0,0,0
164,0,766065.6101,4333844.743,12,11,9.440874,0,101.8798724,7.278092558,27.87009529,4.101408,16.77105,37.698048,105.567624,130.961448,0,0,0,0,0,0,0,0,0,0
165,0,766067.8112,4333842.382,6,11,9.440874,0,104.3853633,13.61680523,29.78711453,7.848306,17.9982,32.473116,101.357136,131.010534,0,0,0,0,0,0,0,0,0,0
166,0,766068.7473,4333848.719,4,11,9.440874,0,98.15094406,5.641360613,26.23020664,3.048786,16.601976,52.663824,111.474306,140.642298,0,0,0,0,0,0,0,0,0,0
167,0,766071.4042,4333843.436,13,15,24.128496,0,101.3685167,11.3835927,25.35273369,6.566616,14.594904,28.677132,96.355818,127.75995,0,0,0,0,0,0,0,0,0,0
168,0,766072.9807,4333843.27,7,15,24.128496,0,99.88044251,8.767602023,25.35273369,4.99041,14.594904,28.764396,94.114224,127.170918,0,0,0,0,0,0,0,0,0,0
169,0,766075.0511,4333844.471,9,15,24.128496,0,97.57964035,5.301418922,26.05170513,2.80881,14.94396,42.252138,92.570742,128.834388,0,0,0,0,0,0,0,0,0,0
170,0,766074.5624,4333838.79,10,15,24.128496,0,99.56742886,7.967105821,27.6962637,4.450464,16.17111,24.417558,83.157138,123.189498,0,0,0,0,0,0,0,0,0,0
171,0,766078.7119,4333842.37,8,15,24.128496,0,94.57710675,4.631155408,26.23867652,2.525202,15.254838,23.58855,90.247338,127.961748,0,0,0,0,0,0,0,0,0,0
172,0,766071.8189,4333835.875,16,15,24.128496,0,103.0634949,16.13103635,26.53097038,9.468144,15.511176,23.566734,69.543954,117.375534,0,0,0,0,0,0,0,0,0,0
173,0,766074.5928,4333832.418,6,15,24.128496,0,101.3350644,12.18487649,24.81489841,7.44471,14.442192,25.60653,46.484442,100.604484,0,0,0,0,0,0,0,0,0,0
174,0,766076.8393,4333831.177,5,15,24.128496,0,99.55159256,12.18487649,24.58512155,7.44471,14.354928,24.477552,47.384352,95.984946,0,0,0,0,0,0,0,0,0,0
175,0,766076.5278,4333830.79,13,15,24.128496,0,99.96586737,11.18487649,24.58512155,6.89931,14.354928,25.873776,47.384352,94.016052,0,0,0,0,0,0,0,0,0,0
176,0,766072.5038,4333828.737,11,15,24.128496,0,104.426728,12.18487649,27.31454898,7.44471,15.827508,25.873776,48.453336,88.720218,0,0,0,0,0,0,0,0,0,0
177,0,766078.7171,4333826.177,17,15,24.128496,0,99.41596789,7.718693392,17.85451073,4.71771,10.722564,24.123042,42.966612,73.230858,0,0,0,0,0,0,0,0,0,0
178,0,766072.6145,4333828.141,15,15,24.128496,0,104.5089113,12.18487649,25.97460729,7.44471,15.042132,25.873776,42.426666,87.651234,0,0,0,0,0,0,0,0,0,0
179,0,766069.7769,4333828.566,12,15,24.128496,0,107.0734306,9.841346486,29.59475505,5.868504,17.163738,27.537246,43.49565,82.131786,0,0,0,0,0,0,0,0,0,0
180,0,766071.0795,4333808.527,15,15,24.128496,0,113.6347948,3.697447583,6.86736167,2.20887,3.877794,16.492896,31.180518,40.981356,0,0,0,0,0,0,0,0,0,0
181,0,766069.5949,4333797.118,6,1,2.639736,0,120.102404,0.880973313,4.13793424,0.392688,2.405214,4.537728,19.056276,29.631582,0,0,0,0,0,0,0,0,0,0
182,0,766068.0452,4333810.137,12,15,24.128496,0,115.6100709,3.697447583,6.86736167,2.20887,3.877794,15.069402,32.674914,39.034278,0,0,0,0,0,0,0,0,0,0
183,0,766066.4533,4333802.383,6,15,24.128496,0,120.6290529,4.13793424,6.86736167,2.405214,3.877794,6.397542,25.137486,34.185672,0,0,0,0,0,0,0,0,0,0
184,0,766064.0746,4333817.381,10,15,24.128496,0,116.2609575,2.72942743,19.24054068,1.47258,11.56248,23.599458,34.071138,44.510094,0,0,0,0,0,0,0,0,0,0
